,URBRUR,REGION,AGE,edu_attainment,occupation,gender,length_withoutfood,length_withoutcleanh20,length_withoutmeds,length_withoutfuel,length_withoutcash,frequency_sansfood,living_conditions,remittances,compare_conditions,econ_conditions,Qwelfare
281,1,304,34,5,0,1,0,0,1,1,1,7,2,0,3,4,0
282,1,304,26,5,0,2,1,0,0,1,1,7,2,0,3,2,0
283,1,304,29,14,1,1,0,0,0,0,1,7,4,0,4,4,0
284,1,304,23,8,0,2,1,0,1,1,1,7,2,0,3,2,0
285,1,304,52,12,0,1,0,0,0,0,2,4,3,0,9,1,0
286,1,304,36,5,0,2,0,0,0,1,0,7,2,0,1,1,0
287,1,304,40,18,1,1,0,0,0,0,1,7,4,0,4,3,0.75
288,1,304,45,3,0,1,2,0,1,1,3,3,4,0,2,2,0.5
289,1,304,40,5,0,2,1,0,0,0,3,5,2,0,2,2,0.5
290,1,304,21,5,0,2,1,0,1,0,2,3,4,0,4,4,0.5
291,1,304,64,5,0,1,0,1,1,1,2,3,4,0,4,3,0.5
292,2,304,39,12,0,2,2,0,0,0,2,3,2,0,2,1,0
293,2,304,55,3,0,1,0,0,0,0,1,7,2,5,9,2,0
294,2,304,51,3,0,2,1,2,1,1,2,4,2,0,2,4,0
295,2,304,62,3,0,1,1,2,1,2,2,5,2,0,3,1,0.5
296,2,304,40,3,0,2,1,1,1,1,3,3,3,0,3,2,0.5
297,2,304,61,16,0,1,1,1,1,1,3,4,1,0,2,1,0.5
298,2,304,37,5,0,1,1,1,2,0,2,3,2,0,3,1,0.75
299,2,304,57,3,0,2,1,2,2,1,2,5,2,0,3,2,0.5
300,1,304,22,3,0,2,2,2,1,0,2,5,2,0,2,2,0
301,1,304,24,12,0,2,1,0,2,0,2,4,1,0,2,1,0.75
302,1,304,52,5,0,2,1,1,2,0,3,4,2,0,2,2,0.75
303,1,304,45,5,0,1,1,1,2,2,2,5,1,0,1,2,0.5
304,1,304,32,3,0,1,1,0,2,1,3,3,2,0,3,2,0.5
305,1,304,37,5,0,2,0,0,1,0,2,3,1,0,2,2,0
306,2,304,32,5,0,2,0,0,0,0,1,7,3,0,2,3,0
307,2,304,80,3,0,1,0,0,0,0,3,4,3,1,9,2,0.5
308,2,304,21,0,0,2,3,1,2,1,2,5,1,0,2,3,0
309,2,304,52,12,0,1,2,1,2,0,1,5,2,0,2,1,0
310,2,304,45,12,0,1,0,0,1,0,2,3,1,0,3,3,0
311,2,304,30,5,0,2,1,2,1,1,2,4,1,0,1,2,0
312,2,304,23,8,0,1,1,0,1,0,1,7,4,0,4,4,0
313,2,304,35,3,0,2,0,0,1,1,1,7,4,0,4,2,0
314,2,304,28,12,0,2,0,0,0,0,2,5,3,0,9,2,0.5
315,2,304,25,14,0,1,0,0,0,0,2,4,3,0,9,2,0
316,2,304,27,3,0,2,2,0,2,0,3,5,2,0,2,1,0.5
317,2,304,34,3,0,1,0,0,1,0,3,5,2,0,2,3,0
318,2,304,41,3,0,1,2,3,3,2,3,5,1,0,1,2,0
319,2,304,60,3,0,2,1,2,2,2,3,5,1,1,1,2,0.75
320,2,304,22,8,1,1,2,0,2,1,2,5,1,0,2,2,0
321,2,304,24,3,0,2,2,1,1,0,1,5,1,0,2,2,0
322,2,304,40,3,0,2,0,0,0,0,3,5,1,0,2,1,0.5
323,2,304,29,8,1,1,1,0,0,0,2,3,1,0,1,1,0
324,2,304,21,14,1,2,1,0,2,0,1,3,1,0,2,2,0
325,2,304,59,3,0,2,2,2,2,3,3,5,1,0,2,2,0
